PestID,PestName,PestType,Severity,PestDescription,PestImage
9fad159a-2e17-4c5f-a8eb-f76a245165bf,Carpenter Ant (Camponotus),Ants,High (House damage),Ants that build nests in trees and wooden structues by chewing tunnels through them.,https://upload.wikimedia.org/wikipedia/commons/f/fb/Carpenter_ant_Tanzania_crop.jpg
3fb8fb8a-e16b-45d0-9274-fb2356a24e42,Fire Ants (Solenopsis),Ants,Medium (Venom may cause anaphylaxis),Species of stinging ants whose venom may cause anaphylactic shock in those allergic to it.,https://upload.wikimedia.org/wikipedia/commons/9/94/Fire_ants_01.jpg
7f2c97f0-03ac-40ec-8fd7-3374b11410ed,Pavement Ant (Tetramorium),Ants,Low,Species of ants that are often found indoors scavenging for food.,https://upload.wikimedia.org/wikipedia/commons/4/40/Ants_on_candy.jpg
e333d325-c01b-4272-8b44-f39b9988f3a4,Eastern Velvet Ant (Dasymutilla occidentalis),Wasps,Low,Species of solitary wasps native to the eastern Untied States that parasitize beneficial wasps and bees. Female velet ants have no wings and can inflict multiple extremely painful stings.,https://upload.wikimedia.org/wikipedia/commons/d/d9/Dasymutilla_occidentalis_%28female%29.jpg
7a532d09-6b6f-4050-a8a5-2b367441e31d,Metric Paper Wasp (Polistes metricus),Wasps,Medium,A species of eusocial wasps native to North America that prey on caterpillars and other insects. Can be found under structures building either cone or umbrella shaped nests out of paper.,https://upload.wikimedia.org/wikipedia/commons/2/2b/Polistes_metricus_P1660156a_%28cropped%29.jpg
a2f44c4d-21bb-4035-b6ba-539357dab4a3,Paper Wasp (Polistinae/Stenogastrinae/Vespinae),Wasps,Medium,"Eusocial wasps that build nests out of paper. Typically, they are more docile than yellowjackets but will respond agressively if their nest is threatened.",https://upload.wikimedia.org/wikipedia/commons/4/46/Polistes_sp_wasp.jpg
f33106e7-ac34-4a9d-8b38-4c8d75cba3dc,Organ pipe mud dauber (Trypoxylon politum),Wasps,Low,A species of solitary mud dauber wasps that prey on spiders. Often found building organ pipe shaped nests out of mud on trees or structures.,https://upload.wikimedia.org/wikipedia/commons/d/d5/Pipe_Organ_Mud_Dauber_with_Spider_-_Trypoxylon_politum%2C_Leesylvania_State_Park%2C_Woodbridge%2C_Virginia.jpg
851f587f-71d0-48fa-af66-6f12fd1416a5,Mud daubers (Sphecidae/Crabronidae),Wasps,Low,Species of solitary mud dauber wasps that can be found building cylindrical nests out of mud. They are docile unless threatened. Mud daubers can typically be differentiated from other wasps by their long and narrow waist.,https://upload.wikimedia.org/wikipedia/commons/0/0d/Sceliphron_caementarium_MHNT_Profil.jpg
e7983b7e-2215-4abb-a86a-699926f5c640,Yellowjacket (Vespula),Wasps,High,Species of bright yellow and black (or black and white) social wasps that predate on pest insects. They are highly agressive and often build their nests underground.,https://upload.wikimedia.org/wikipedia/commons/9/93/European_wasp_white_bg.jpg
142908b3-285a-4eb9-9ab1-a14c6acddf30,European honey bee (Apis mellifera),Bee,Low,"A species of domesticated social bees that produce honey and are invasive in the United States. Generally docile but their stings may cause anaphylactic shock in those allergic to it.",https://upload.wikimedia.org/wikipedia/commons/4/4d/Apis_mellifera_Western_honey_bee.jpg
dd714234-945d-4864-a86f-0e066154f6c0,Eastern carpenter bee (Xylocopa virginica),Bee,Medium,A species of social or solitary bees that build their nest in wood and often cause structure damage.,https://upload.wikimedia.org/wikipedia/commons/c/c3/Carpenter_bee.jpg
a603d7ad-f222-4efe-ab6f-f21e0f1fa9c4,Africanized honey bee (Apis mellifera scutellata),Bee,High,A hybrid derived from the European honey bee (Apis mellifera) that can be found in the southern United States. These bees are highly aggresive and getting stung too many times can be fatal.,https://upload.wikimedia.org/wikipedia/commons/d/d0/Apis_mellifera_scutellata.jpg
243598fd-f515-43ce-a3bb-fe3d3cc65d42,Leafcutter bee (Megachile),Bee,Low,Species of solitary bees that build their nests out of leaf cuttings. Their nest building can damage garden plants and crops.,https://upload.wikimedia.org/wikipedia/commons/b/b3/Leafcutter_bee_by_Bernhard_plank.jpg
997af31d-1b6e-4cce-9ca9-946a5b382e0e,Cougar (Puma concolor),Feline,High,"A large species of cat that can be found in the western United States and parts of Florida. Often avoids people, but fatal attacks have occured.",https://upload.wikimedia.org/wikipedia/commons/1/11/Torres_del_Paine_puma_JF2.jpg
4e248b67-8bf6-4655-9515-5d41602ae49d,Bobcat (Lynx rufus),Feline,Medium,"A medium-sized species of cat native to North America. Bobcats tend to fear people and attacks are rarely fatal, but they may pose a risk to children and pets.",https://upload.wikimedia.org/wikipedia/commons/4/4e/Bobcat_at_Columbus_Zoo_Boo.jpg
a875fb40-3909-4610-a159-6e5bca823476,Collared peccary (Dicotyles tajacu),Pig,High,"A species of wild pigs often found in the southwest United States. Whether alone or in packs, they can be a nuisance in the garden or fatally atack people and pets.",https://upload.wikimedia.org/wikipedia/commons/a/a0/Collared_peccary02_-_melbourne_zoo.jpg
053802ed-1844-4eb6-9066-a91aa6c089f9,Wild boar (Sus scrofa),Pig,High,"A species of wild pigs that can be found in the west and southeast of the United States. Attacks on humans are rare but can be fatal due to their tusks and their agression.",https://upload.wikimedia.org/wikipedia/commons/d/d2/Wildschwein%2C_N%C3%A4he_Pulverstampftor_%28cropped%29.jpg
1304fec9-e2ac-4f72-8e74-2450d1a03abb,Raccoon (Procyon lotor),Raccoon,Medium,"A nocturnal mammal found throughout North America and often in places where people inhabit. They are prone to rabies, pose a risk to pets, and tend to cause structural damage when they nest in homes.", https://upload.wikimedia.org/wikipedia/commons/3/3e/Raccoon_in_Central_Park_%2835264%29.jpg
a2191b3e-8915-414d-8aaa-d91cb9f62c42,Coyote (Canis latrans),Canine,Medium,"A species of small canine found throughout North America. Attacks on humans are rare and generally minor; however, coyotes pose a serious risk to livestock and pets.",https://upload.wikimedia.org/wikipedia/commons/9/9c/2009-Coyote-Yosemite.jpg
840916ef-051a-440e-bd44-696cf80df370,Red fox (Vulpes vulpes),Fox,Medium,"A species of small canine native to North America. Foxes are prone to rabies may attack livestock and pets.",https://upload.wikimedia.org/wikipedia/commons/1/16/Fox_-_British_Wildlife_Centre_%2817429406401%29.jpg
e53cf71f-7196-4eee-a095-67132bf5a10b,Eastern Poison ivy (Toxicodendron radicans),Plant,Poisonous (Skin irritation),"A flowering plant native to North America. Leaves of poison ivy contain a sap that causes skin irritation and rashes; as such, they should be avoided.",https://upload.wikimedia.org/wikipedia/commons/4/4b/Toxicodendron_radicans_Foliage.JPG
